"sigma.hat","GARCH","Frequency","MSE","QLIKE"
0.0124041017398887,"sGARCH","Day",6.30558952647604e-09,-8.29555418989575
0.0121769150994848,"sGARCH","Day",1.4301429917524e-07,-5.26598627359386
0.0131173084958228,"sGARCH","Day",8.57251497762182e-08,-5.96601717404391
0.0137901330039551,"sGARCH","Day",3.11364703040125e-08,-8.49549663027932
0.0133442619093905,"sGARCH","Day",5.22330355786807e-09,-8.03920440369956
0.0131530413699455,"sGARCH","Day",4.04118976467421e-09,-8.02965791132719
0.0129560342053078,"sGARCH","Day",1.50210202898676e-09,-7.92327749883555
0.0128451521269466,"sGARCH","Day",2.16396792142319e-08,-8.6011300755673
0.0124575346465701,"sGARCH","Day",1.95594313921467e-08,-6.86967439513925
0.0127853380666509,"sGARCH","Day",2.6181675911544e-08,-8.70877362878279
0.0123496881266556,"sGARCH","Day",9.73018579644885e-10,-7.58372290939592
0.0124178478307402,"sGARCH","Day",2.3752213416366e-08,-8.77668709646065
0.0120049052217519,"sGARCH","Day",6.14171351433564e-09,-8.38866499149468
0.0117745308438848,"sGARCH","Day",1.921106354333e-08,-8.8833762172606
0.0113948067095936,"sGARCH","Day",1.03616634307911e-08,-8.73316763404516
0.0110981702368652,"sGARCH","Day",4.53995927880146e-07,-2.53149802378244
0.0128292904233307,"sGARCH","Day",1.63249454742615e-08,-8.48833274705408
0.0125015990590573,"sGARCH","Day",1.24256609457085e-08,-8.47702581753559
0.0122041234254186,"sGARCH","Day",1.66969807550569e-08,-8.67953532420124
0.0118527283168027,"sGARCH","Day",1.22297909286369e-08,-8.6575722350907
0.0115490278247616,"sGARCH","Day",1.73916083322472e-08,-8.91104100666077
0.011171679828571,"sGARCH","Day",1.09680124314916e-08,-8.82787224688621
0.0108803265290342,"sGARCH","Day",1.22616308527643e-08,-8.97698274876764
0.0105129435193188,"sGARCH","Day",1.03833096680634e-08,-9.03227133322279
0.0101929958699702,"sGARCH","Day",3.58330588105132e-09,-7.59595539460287
0.0103750467643217,"sGARCH","Day",1.15510207573258e-08,-9.13516199777058
0.0100256382237925,"sGARCH","Day",7.11687944250772e-09,-9.04452609846778
0.00975677954863227,"sGARCH","Day",8.34594672975286e-09,-9.21926220464052
0.00949794283973444,"sGARCH","Day",4.21990835729397e-10,-8.54107549633548
0.00938328270313092,"sGARCH","Day",6.77156696876693e-09,-9.27227103780718
0.00908614041531116,"sGARCH","Day",5.48581506276299e-10,-8.68571165547137
0.00899318024350499,"sGARCH","Day",5.86889281838461e-09,-9.36979886261644
0.00876000565998217,"sGARCH","Day",1.10253384371754e-09,-8.90781775079404
0.00867431040738052,"sGARCH","Day",3.50622943617500e-09,-9.28173452770627
0.00844126332279883,"sGARCH","Day",9.89069608416607e-12,-8.59338316274621
0.00845302399876298,"sGARCH","Day",1.44774535264963e-09,-9.07896485175781
0.0083041265228872,"sGARCH","Day",4.19776405566374e-09,-9.52155802930747
0.0080342967961803,"sGARCH","Day",4.16328870771129e-09,-9.64766302820207
0.00774691283236374,"sGARCH","Day",3.85710718201284e-07,1.62748561250663
0.0100339126973944,"sGARCH","Day",4.21820558164056e-09,-8.84866365250625
0.009837857508993,"sGARCH","Day",2.19756049062551e-09,-8.72739586761843
0.00968835991255015,"sGARCH","Day",8.78015425828004e-09,-9.27193605035201
0.00941542258638539,"sGARCH","Day",7.53451675250747e-09,-9.3099598500552
0.00911839799319604,"sGARCH","Day",1.05455786094548e-10,-8.51843115948008
0.00908690636131853,"sGARCH","Day",5.91581621009221e-09,-9.33332516471107
0.00883257600693637,"sGARCH","Day",2.4146523411192e-09,-9.08848948848168
0.00866266492665258,"sGARCH","Day",1.22787559114696e-09,-8.03051169636716
0.00879236927356852,"sGARCH","Day",2.81307594833058e-07,-1.6068768840156
0.0104671124594396,"sGARCH","Day",1.19896338429787e-08,-9.11845679919529
0.0101377431712327,"sGARCH","Day",9.36104549092042e-09,-9.12439148213489
0.00983698362897629,"sGARCH","Day",5.04134348444443e-11,-8.16983712198759
0.00985751375337781,"sGARCH","Day",4.01527508483024e-07,-1.71791243507572
0.0116325266825458,"sGARCH","Day",1.81707826056222e-08,-8.90408218680855
0.011262841266404,"sGARCH","Day",3.95569982716906e-10,-8.12928176390106
0.0111928126614793,"sGARCH","Day",4.9536780703276e-10,-8.16262513304576
0.011121160119629,"sGARCH","Day",3.55638922447404e-07,-3.17606393026994
0.0126741272645481,"sGARCH","Day",5.18398301076626e-09,-8.18460974158415
0.0124484484661073,"sGARCH","Day",4.63738780524077e-10,-7.91128383390149
